mj,kanji,lines,yomi,shrink
3348,䈪󠄁,16,ケキ・キャク,篙
3349,䈫,16,ドウ・ノウ,納
3350,䈬,16,ホ・ブ,蒲
3351,䈭,16,シュウ・シュ・カイ・エ,蒐
3352,䈮,16,ク,蒟
3353,䈯,16,シン,寘
3354,䈰,16,ソウ・ショウ・サク,梢筲
3355,䈱,16,トウ,
3356,䈲,16,ハン・バン,葮般
3357,䈳,16,トウ・ドウ,翥
3358,䈴,16,ケン,蒹
3360,䈵,16,オウ・オ,蓊
3361,䈶,16,ヨウ・ユ,蓉
3362,䈷,16,ラク,格
3363,䈸,17,コク・ゴク,蔛
3364,䈹,17,ソウ,籔䉤
3365,䈺,17,シュウ・シュ,終
3366,䈻,17,ホ・ブ,脯
3367,䈼,17,ベツ・メチ・ビツ・ミチ,
3368,䈽,17,キン・コン,菫
3369,䈾,17,ソウ・ショウ・サク,梢稍
3370,䈿,17,バク・ミャク・ベキ,蓂
3371,䉀,17,ショ,蔗
3373,䉁,17,レイ・リョウ,聆
3374,䉂,17,ルイ,
3375,䉃,17,ショウ・ソウ・ゾウ,蔣
3376,䉄,17,ロウ,陵
3377,䉅,17,シ・シュウ,
3378,䉆,17,チョウ,蔦
3379,䉈,18,サン・サツ・サチ,䉤散
3380,䉉,18,コ・ゴ,觚
3381,䉊,18,ハン・ボン・テン・デン,簞
3382,䉋,18,ビ・ミ,媚
3383,䉌,18,スイ・ズイ,隊
3384,䉍,18,カン・ケン,簡悶
3385,䉎,18,トウ・ドウ・ジョウ,棠藁
3386,䉏,19,カイ・ゲ,薢
3387,䉐,18,コ・ク・ロ,
3388,䉑,18,ブ・ム・ボ・モ,蕪
3389,䉒,18,ハン,
3390,䉓,18,ラ,樔
3391,䉔,18,サン,殘箋
3392,䉕,18,ソウ・ゾウ,罾
3393,䉖,18,レイ,笭
3394,䉗,18,ユウ,揖
3395,䉘,18,ソウ,棕
3396,䉙,18,ウン,篔
3397,䉚,18,モウ・ミョウ,甍
3398,䉛,19,イク・キク・コク・オウ,薁
3399,䉜,19,チ・ジ,薙
3400,䉝,19,ギ,義
3401,䉞,19,タン・トン,箴感
3402,䉟,19,カク・ワク・コ・ゴ,
3403,䉠,19,ビ・ミ,薇
3404,䉡,19,タン・ダン,亶
3405,䉢,19,ショク・シキ,薔
3406,䉣,19,シャ,寫
3407,䉤,19,ソウ・シュ・ス・やぶ・ざる・こめあげざる,䉤
3408,䉥,20,ソウ・ス,摠
3409,䉦,21,セン,遷
3410,䉧,21,リュウ・ル,劉
3411,䉨,21,ギ・ゲ,藙
3412,䉩,21,オウ・オ,樞
3413,䉪,21,ライ・レ,藟
3414,䉫,21,レイ・ライ,藜
3415,䉬,21,ハイ・ヘ,廢
3416,䉮,22,リン,藺
3417,䉯,22,カン・ケン,賢
3418,䉰,22,コウ・ギョウ,骹
3419,䉱,22,オウ・オ,樞
3420,䉲,23,ビ・ミ,彌
3421,䉳,23,セン,蘚
3422,䉴,23,ジョウ・ニョウ,蘘
3424,䉵󠄀,23,セン・ゼン・サン・ザン・テン・ケン・ゲン,籑饌
3425,䉵󠄁,23,セン・ゼン,籑饌
3426,䉶,24,ソウ・ほ,篗
3427,䉷,26,ゲン・ゴン,巖
3428,䉸,27,ヘン・ベン,辯
3429,䉹,30,レイ,靈
3430,䉺,9,コウ・グ,粠
3431,䉻,10,キ・ギ,秖
3432,䉼,10,リョウ,料
3433,䉽,11,ハン,袢
3435,䉾,11,ヒ,粃秕
3436,䉿,11,コ・ゴ,糊
3437,䊀,11,コ,糊
3438,䊁,12,シン,銑
3439,䊂,12,サク・シャク,疎粽
3440,䊃,12,ハイ・ベ,珮
3441,䊄,12,キョウ・グ,
3442,䊅,12,ベイ・ミョウ,粭銘
3443,䊆,12,キュウ・グ・ユウ・ウ,糗
3444,䊇,13,ホ・ブ,餔
3445,䊈,13,バイ・メ,梅
3446,䊉,13,サン,粽
3447,䊊,13,ビ・ミ,䅏
3448,䊋,13,ソウ,壯壮粧妝
3449,䊍,14,リ,黎
3450,䊎,14,ケン・コン・クン,粍
3451,䊏,14,サン,糂糝
3452,䊐,14,コン・ゴン,餛
3453,䊑,14,ショウ,餉響響
3455,䊒,14,セイ,精
3456,䊓,15,シ・ジ・チ,禔
3457,䊔,15,エイ・ヨウ,煐
3459,䊕,15,ケン・コン,饘
3460,䊖,15,ダン・ナン,楠
3461,䊗,15,コウ・オウ,䅣
3462,䊘,15,シュウ・シュ,
3463,䊙,15,ゲン,粲
3464,䊚,16,タイ・テ・ツイ・ズイ,槌
3465,䊛,17,サツ,
3466,䊜,17,タン・ダン,槫
3467,䊝,17,セツ・セチ・シツ・シチ・ソツ・ソチ,蟋
3468,䊞,17,タク・チャク,
3469,䊟,17,バン・マン・ボン・モン,
3470,䊠,17,キ・ケ,気氣餼
3471,䊡,17,バン・マン,饅
3472,䊢,17,ショウ,漿
3473,䊣,18,コウ・オウ,橫
3475,䊤,18,タン・ドン,
3476,䊥,18,ショウ,繡
3477,䊦,18,エツ・エチ,糦
3478,䊧,18,ヒ,屁
3479,䊨,18,ラ,羸
3480,䊩,18,ハン・ベン,橎潘
3481,䊪,19,ライ・ラツ・ラチ・レイ・くろごめ,糲
3482,䊫,19,サイ・セ,罪
3483,䊬,19,タ・テ,稞
3484,䊭,20,トウ・ドウ・チュウ・ジュ,檮
3485,䊮,20,チョウ・テキ・チャク,櫂
3487,䊯,21,コウ,擴
3488,䊰,22,チョ・ジョ,櫧
3489,䊱,23,セン,
3490,䊲,23,サン・セン,鏟粟
3491,䊳,25,ビ・ミ・バ・マ,靡
3492,䊴,25,ケン,籡
3493,䊵,8,キュウ,絿
3494,䊶,9,チン,
3495,䊷,9,シ,緇純
3496,䊸󠄀,9,ウ,紆
3497,䊸󠄁,9,ウ,紆純
3499,䊺,10,コ・ゴ,絚
3500,䊻,10,カン・コン・シ,欸
3501,䊼,10,シ,祉
3502,䊽,10,カイ・ケ・ケツ・ケチ,袂
3503,䊾,10,ボク・モク,
3504,䊿,10,フ,紋
3505,䋀,10,カ・ゲ・コ・ゴ・カイ・エ,扆
3506,䋁,10,コウ・つるべなわ,綆
3507,䋂,10,コウ・ギョウ,絞
3508,䋃,10,ボウ・モウ,絆
3509,䋄,10,モウ,網
3510,䋆󠄁,10,かせ,䋆
3511,䋆󠄂,10,かせ,䋆
3513,䋇,10,エキ・ヤク・ぬく・たずねる,釈䋆繹
3515,䋈,11,ジョ・ニョ・ダ・ナ,絮
3516,䋉,11,ケツ・ケチ・イツ・イチ・シュツ・ジュチ,柼紵
3517,䋊,11,セイ・ショウ,柾紕
3518,䋋,11,ビン・ミン,罠
3519,䋌,11,ク・コ・キョウ・コウ・キョ・ケン,堅
3520,䋍,11,ア,絅
3521,䋎,11,タン・デン,綻
3522,䋏,11,サ・ジャ・サク・ザク,祚紆
3523,䋐,11,エツ・オチ,絨
3524,䋑,11,ヘイ・レツ,納
3525,䋓,11,シュウ,縐
3526,䋔,11,,
3527,䋕,12,ジン,紝
3528,䋖,12,イツ・イチ,䋖
3529,䋗,12,ケン,堅
3530,䋘,12,ツイ,縋
3531,䋙,12,ジ・ニ,緝
3532,䋚,12,ヨク,翼𦐂
3534,䋛,12,ベイ・マイ,継
3535,䋜,12,ケイ,綮
3536,䋝,12,エイ・ヨウ,䋝
3537,䋟,13,キ・ギ,跽綛
3538,䋠,13,ホ,補
3539,䋡,13,ショ,紓
3540,䋢,13,ヘツ・ヘチ,蜇紮
3541,䋣󠄀,13,ハン・ボン・バン・ハ・バ・しげる,繁繁
3542,䋣󠄁,13,ヘン・ハン・ハ・ボン・バン・バ,繁繁
3544,䋤,13,ヤク,約素
3545,䋥,13,リ,綶
3546,䋧,14,ク,絇
3547,䋨,14,フ・フウ,結踣
3548,䋩,14,ジ・ニ・サイ,蜺
3549,䋪,14,ア,婀
3550,䋫,14,ソウ・ショウ,錚紳
3551,䋬,14,テン,㮇緦毯
3552,䋭,14,イク,錥絹
3553,䋮,14,ケン・ゲン・キン,維鉉
3554,䋯,14,ケイ,綮
3555,䋰,14,キョク・コク,纂
3556,䋱,14,ライ・レ・リ,斄
3557,䋳,15,ハイ・ヘ,褙
3558,䋴,15,ジュウ・ニュ,糅綵
3559,䋵,15,エイ・エツ・エチ,褐
3560,䋶,15,ショウ・シュ・ケツ・ゲチ・シュツ・シュチ,頻
3561,䋷,15,ボウ・ム・ビュウ・ク・ミュ・コウ,鍪綮
3562,䋸,15,シュン・ジュン,循
3563,䋹,15,フク,幅
3564,䋺,15,シュウ,鞦
3565,䋻,15,ジン・ニン,紝
3566,䋼,15,テイ・チョウ・エイ・ヨウ,縊楹
3567,䋽,15,ホウ・ホ,湗
3568,䋾,15,タ・テ・ダ・ナ,
3569,䋿,15,ワイ・エ,縲
3570,䌀,15,カ,蝌
3571,䌁󠄀,15,ヨウ,楆縹
3572,䌁󠄁,15,ヨウ,楆縹
3573,䌂,15,オウ・オ・ゆる,䌂握
3574,䌃,15,サク,綃
3575,䌄,15,コウ,綆
3576,䌅,16,トウ・ドウ,
3577,䌆,16,キ・ソウ,槐
3578,䌇,16,サク,索
3579,䌈,16,トウ,搨
3580,䌉,16,コウ,綱
3581,䌌,17,ショウ,褶
3582,䌍,17,キン・コン,槿
3583,䌎,17,リャク,
3584,䌏,17,ミツ,樒
3585,䌐,17,ベキ・ミャク,
3586,䌑,17,ケン,堅
3587,䌒,17,ロク,樚纊
3588,䌓󠄂,16,ハン,繁繁
3589,䌓󠄁,17,ハン,繁繁
3590,䌔,17,オウ・オ,漚
3591,䌕,17,ビ,縻
3592,䌖,18,ショウ・ジョウ・シュウ,襍
3593,䌗,18,フ,橅
3594,䌘,18,ヘツ・ヘチ・ヘイ・ベイ,幣
3595,䌙,18,コウ・オウ,𧝒
3596,䌚,18,ソク,縹
3597,䌛,18,ヨウ・ユウ・ユ,繇
3598,䌜,19,ジョウ・ニョウ・ギョウ・ゴウ,㒒
3599,䌝,19,ゴン・キン・コン,紺
3600,䌞,19,レン・セン,檢
3601,䌟,19,ヘキ・ヒャク・ハク・ビャク,澼
3602,䌠,19,カン・コン・ケン,繁
3603,䌡,19,テイ・タイ,禮
3604,䌢,19,レイ・リョウ,䙥
3605,䌣,20,サン,綰
3606,䌤,20,シ・チ,絁
3607,䌥,20,イン・オン,穩
3608,䌦,20,トウ・ドウ・コウ・テキ・ジャク,櫂
3609,䌧,20,チュウ,紬
3610,䌨,21,サツ・サチ・サイ,檫蔡
3611,䌩,21,ベツ・メチ,襪
3612,䌪,22,エン,繝
3613,䌫,22,ラン・ともづな,䌫纜
3614,䌬,22,チョウ・ジュ,櫳
3615,䌭,22,ショウ,樵
3616,䌮,23,ソウ・ショウ,孀繻
3617,䌯,24,ケン・ゲン・カン・ガン,權
3619,䌰,24,ジョウ・ニョウ,
3620,䌱,24,ラ,瀛
3621,䌲,24,クン,
3622,䌳,25,シ,絁
3623,䌴󠄀,25,ラ,羸
3624,䌴󠄁,26,ラ,羸
3625,䌵,27,ショク・ソク,
3626,䍂,9,ウ,缸
3627,䍃󠄁,10,ユウ・ユ・ヨウ,䍃
3628,䍃󠄂,10,ユウ・ユ・ヨウ,䍃
3629,䍄,11,テン,
3630,䍅,11,レイ,
3631,䍆,11,チョ,缼竚
3632,䍇,11,トウ・ドウ・ヘキ・ヒャク,缼
3633,䍈,11,ヘイ,缾瓶甁
3634,䍉,11,タイ,枳
3635,䍊,12,コウ・キョウ・ケキ・キャク・カク,蛟
3636,䍋,14,スイ,錘
3637,䍌,14,フウ・ブ・ホウ,瓿
3638,䍍,16,フウ・フ・コウ・ク・コク,穀
3639,䍎,23,ソン・セン,韉
3640,䍏,5,ボウ・モウ・あみ・あみがしら,网罒
3641,䍐,8,カン・まれ,罕
3642,䍑,9,カン,罕
3643,䍓,9,ガ・ゲ,穿
3644,䍔,9,コウ・キョウ,宏
3645,䍕,9,テイ・タイ,罠
3646,䍖,10,フウ・ブ・ホウ・フ・ヒョウ,
3647,䍗,10,ケン,
3648,䍘,11,ビ・ミ・ベイ・メイ,粟
3649,䍙󠄀,12,バイ・メ・ブ・ム・ボ・モ・ボウ,
3650,䍙󠄁,13,バイ,
3651,䍚,12,ロウ,罠
3652,䍛,13,コ・ク,箇罟
3653,䍜,13,トウ・チョウ,罹
3654,䍝,13,トウ,署沓
3655,䍞,14,ヨク,罭
3656,䍟,14,ソウ・ス,
3657,䍡,16,ロク,麗
3658,䍢,17,ブ・ム,蕪
3659,䍣,18,ライ・レ,蕾
3660,䍤,19,セイ・サイ,霽擠
3661,䍥,21,レキ・リャク,靂
3662,䍦,24,リ,
3663,䍧,10,ソウ,牂
3664,䍨,10,ハツ・ハチ・ヒ,沛羚
3665,䍩,10,ヨウ,養
3666,䍪,11,マチ・バツ・マツ,沫羜
3667,䍫,11,タ・ダ,羜沱
3668,䍬,11,ホウ・ヒョウ,泙羜
3669,䍭,11,ソウ,牂
3670,䍮,12,チョウ・ジョウ・トウ・ドウ,洮
3671,䍯,12,キ,脆羝
3672,䍰,12,イン,
3673,䍱,13,ショ・ジョ・ヨ,羚
3674,䍲,14,カイ・ケ・ゲイ,猊
3675,䍳,14,ケツ・ケチ・テツ・テチ・カチ,裰
3676,䍴,14,イ,
3677,䍵,14,ソウ・ショウ,猙
3678,䍶,14,ジン・トウ・ツ・チン,
3679,䍷,15,イ,湋
3680,䍸,16,ハク・フ,溥
3681,䍹,16,ガン,羶
3682,䍺,17,カン・ゲン,漶
3683,䍻,18,セン,潠
3684,䍼,18,ソウ・ゾウ・シン・サン・セン・ゼン,潛
3685,䍽,22,レキ・リャク,瀝
3686,䍾,10,ゲン,翔
3687,䍿,10,コウ・オウ,凰
3688,䎀,11,ケツ・カチ,𦐂
3689,䎁,11,コ・ゴ,詡
3690,䎂,11,ホウ,袍
3691,䎃,11,ゼン・ネン,
3692,䎄,11,キョウ・チョウ・ジョウ,詡
3693,䎅,11,ハク,翊
3694,䎆,11,リョウ,翌
3695,䎇,12,シュウ・シュ,翊𦨞
3696,䎈,12,エイ・セツ・セチ,拽
3697,䎉,12,キツ・キチ,矞
3698,䎊,12,ハク・ラク,詡雒
3699,䎋,13,コウ,詡
3700,䎌,13,シュク,捉
3701,䎍,13,フ,誧
3702,䎎,13,ジョウ・ニョウ,
3703,䎏,13,カン・コン,詡
3704,䎐,14,トウ・チョウ,朝翺
3705,䎑,14,ロク,粶
3706,䎒,14,サン・ザン・セン,殘
3707,䎓,14,トウ,
3708,䎔,16,フ,縛
3709,䎕,16,コウ,蓊
3711,䎖,18,ソウ,甑翮
3712,䎗,18,キョウ・ギョウ,翮
3713,䎘,18,シュク,翮
3714,䎙,20,ヒン・ビン,翺
3715,䎚,21,ケイ,譿
3716,䎜,12,コン,老
3717,䎝,12,ショ,翥
3718,䎟,9,ジ・ニ,姍粫
3720,䎠,9,ジ・ニ・カン・ガン・ダ・ナ,懦愞
3721,䎡,10,ダン・ナン,耎
3722,䎢,9,キツ・コチ・シ,耙乾
3723,䎣,11,シ,耜
3724,䎤,13,キョク・コク,
3725,䎦,14,エン,
3726,䎧,14,ホウ・ボウ・ブ,
3727,䎨,14,ヨウ・オウ・アン・オン,掩
3729,䎩󠄁,14,シ,菑
3730,䎩󠄀,14,,菑
3731,䎪,14,ドク・ノク,棏
3733,䎫,15,ソウ・ス,
3734,䎮,17,テイ・タイ・テキ・チャク,
3735,䎯,17,カン,熯
3737,䎰,18,サク・ザク,耡
3738,䎱,21,ハ・ヒ,拽耙曳
3739,䎲,7,ギツ・ゴチ,
3740,䎳,10,ゲツ・ガチ・ガツ,耼
3741,䎴,10,コウ・キョウ,聖
3742,䎵,11,ヒ・ビツ・ミチ,恥
3743,䎶,11,ジ・ニ,
3744,䎷,12,シュ・フ,咮
3745,䎸,13,ゴ,晤
3746,䎹,13,ブン,聞
3747,䎺,14,セイ,猘
3748,䎻,14,シュウ・シュ,賙
3749,䎼,14,ロク,㖨
3750,䎽,14,セイ・ショウ・ブン,聞
3751,䎿,15,シュウ・シュ,啾
3752,䏀,15,ラツ,喇
3753,䏁,16,サイ,縡
3754,䏂,16,ソウ,
3755,䏃,16,ベン・メン・ビン・ミン・ベイ・ミョウ,瞑
3756,䏄,17,テイ・タイ・タツ・タチ・チツ・チチ,膣
3757,䏅,17,セイ・サイ・サツ・セチ・セツ,際
3758,䏆,17,ショウ・ジョウ・ソウ・ゾウ,艚
3759,䏇,17,ヒョウ・ビョウ,瞟
3760,䏈,18,レン,攣聯聨
3761,䏉,20,シュウ,隰
3762,䏊󠄀,22,ロウ,聾
3763,䏊󠄁,22,ロウ・ル,聾
3764,䏋,13,シュク,肅粛
3767,䏌,6,キツ・コチ,佾
3768,䏍,6,エン,肙
3769,䏎,7,フウ・ブ・ガン,肌
3770,䏏,7,ク・コ,吁
3771,䏐,8,ケツ・ケチ・ケイ・ケ,胦
3772,䏑,10,セキ,炙
3773,䏒,8,ヘン,胖
3774,䏓,8,カン・ゲン・ガ,脘
3775,䏔,8,チュウ・ジュウ・ニュ・チュ・ジク・ニク,肘衄
3776,䏕󠄁,8,ジン・ニン,飪
3777,䏕󠄀,8,オウ,飪
3779,䏖,8,イン・チン・ジン,
3780,䏗,8,カイ・ケ,汽
3781,䏘,8,ヒツ・ヒチ,肥
3782,䏙󠄀,8,テン・デン,
3783,䏙󠄁,8,タン・トン,
3784,䏚,8,ビョウ・ミョウ,眇
3785,䏛,8,シュン,昀
3786,䏜,8,コウ,服
3787,䏞,9,バツ・マチ,
3788,䏟,9,ヘツ・ベチ・ヒツ・ビチ,妼
3789,䏠,9,キュウ・コウ・ロウ,汁
3790,䏡,9,シ・ジ,
3791,䏢󠄀,9,ソ,
3792,䏢󠄁,9,ヒ,服
3793,䏣,9,ショ,蛆
3794,䏤,9,シ,顖囟
3795,䏥,9,タン,聃
3796,䏦,10,テン・デン・カツ・カチ,聒
3797,䏧,10,ダ・ナ・シ・タ,眵
3798,䏨,10,カイ・ケ・タイ・テ,胆
3799,䏩,10,キュウ・オウ,脅
3800,䏪,10,ジ・ニ,咡
3801,䏫,10,キュウ・ク,
3802,䏬,10,ボウ・ム・ひとみ,眸
3803,䏭,10,シュ,咮
3804,䏮,10,キョウ・コウ,䏮脇
3805,䏯,11,シ,痣
3806,䏰󠄂,11,ジン・ニン・ジュン,䏰
3807,䏰󠄁,11,ジン・ニン・ジュン・ニュン,䏰
3808,䏱,11,キク・コク,
3809,䏲,11,テツ・デチ・テイ・タイ,胅
3810,䏳,11,セツ・セチ,晣
3811,䏴,11,ソウ・ショウ,哨
3812,䏵,11,ボウ・モウ・モ,
3813,䏶,11,ヒ・ビ,髀
3814,䏷,11,カン・ガン,
3815,䏸,11,ギョ,晤魚
3816,䏹,11,ケン,睍
3817,䏻,10,ドウ,能
3818,䏼,12,サン・ザン・ゼン,賤
3819,䏽,12,ホウ・ブ・ハイ・ベ,賠
3820,䏾,12,ホウ,腠
3821,䏿,12,ケイ,
3822,䐀,12,キ,掎
3823,䐁,12,タク・チョク・トク,豚
3824,䐂,12,リョク・ロク,㖨
3825,䐃,12,キン・ゴン・シュン,
3826,䐄,12,カン・ゲン・コン・ゴン・ガン,陷
3827,䐅,12,キ,
3828,䐆,12,サ・サイ,
3829,䐇,12,シュン・ジュン・ビン・ミン・ブン・モン・フン・くちさき,吻唇脣
3830,䐈,12,ショク・シキ・チョク・チキ,䐈
3831,䐉,12,シ,脳腦
3832,䐊,12,コン・ゴン,餛
3833,䐋󠄀,12,ソウ・ス,
3834,䐋󠄁,12,ソウ・ス,聡
3835,䐌󠄂,12,テン,腆倎
3836,䐌󠄁,12,テン,腆倎
3837,䐍,13,ス,䐢
3838,䐎,13,テイ・タイ,睼
3839,䐏,13,シュン,暙
3840,䐐,13,シュウ・シュ,啾
3841,䐑,13,チョウ・ジョウ・ショウ,
3842,䐒,13,タ,
3843,䐓,13,ジュウ・ニュ,
3844,䐔,13,ヒン・ヘン・ベン,
3845,䐕,13,シュウ,
3846,䐖,13,キ,咿
3847,䐗,13,チョ,䐗豬猪
3848,䐘,13,キャク・ガク,暖
3849,䐙,13,カク・キャク,膈
3850,䐚,13,ショク・シキ・セキ・シャク,脚
3851,䐛,13,トウ,胯
3852,䐜,14,シン・シ,䐜
3853,䐝,14,サ,嗩
3854,䐞,14,ジャク・ニャク,嫋
3855,䐟,14,コウ・ク,購
3856,䐠,14,コウ,謊
3857,䐡,16,セイ,臍
3858,䐢,14,シュウ・シュ・ソウ・ス,䐢
3859,䐣,14,ソン,殞
3860,䐤,14,サイ・セ・サ・シ・ザ,
3861,䐥,14,オウ・オ,滃
3862,䐦,14,コウ,
3863,䐧,14,コウ,犒臛
3864,䐨,14,コク・トク・ドク・カク,觳
3865,䐩,14,カイ・ガイ・ケ,
3866,䐫,15,ショウ・シュ,蹤
3867,䐬,15,ソウ・ゾウ,艚
3868,䐭,15,テイ・タイ,艜
3869,䐮,15,サン・セン,鏟
3870,䐯,15,ライ・レ・ルイ,樏
3871,䐰,14,シュウ,羞
3872,䐱,15,タ・セキ・シャク・タク・チャク・タイ・テ,蹢腩
3873,䐲,15,チョウ・ジョウ・チュウ・ジュウ,摺膠
3874,䐳,15,ギョ,魚
3875,䐴,15,カイ・ケ,曁
3876,䐵,16,コウ・オウ,
3877,䐶,16,サン・シン・セン・ゼン,
3878,䐷,16,タン,殫
3879,䐸,16,カク,膕
3880,䐹,17,シュ・ショウ・シュウ,嘯
3881,䐺,16,タン・トン・ドン,
3882,䐻,16,コ,辜
3883,䐼,16,ケツ・ゲチ・ケイ・ゲイ,縢
3884,䐽,15,ボン,瞞
3885,䐾,17,タク・ダク,
3886,䐿,17,イク・オウ,
3887,䑀,17,ヘキ・ビャク,癖
3888,䑁,17,オク・アク,礐
3889,䑂,18,アイ・ヨ,璵
3890,䑃,18,ボウ・モ・モウ,朦
3891,䑄,18,ヒ・ギ,瘜
3892,䑅,18,ロク,肋
3893,䑆,19,ヨウ,
3894,䑇,19,シツ・シチ,
3895,䑈,19,ハク,皪
3896,䑉,20,エイ・ヨウ,瀛
3897,䑊,20,イ,膸
3898,䑋,21,ジョウ・ニョウ,
3899,䑌,21,ラン,爛
3900,䑍,21,エイ・ヨウ,癭
3901,䑎,21,セン・サン,殲
3902,䑏,22,ケン・ゲン・カン,
3903,䑐,11,シン,臤珎
3904,䑑,18,ボク・しもべ,僕
3905,䑓,13,ダイ・うてな,䑓台臺
3906,䑔,10,ハツ・ボチ・ハイ・ヘ,肺
3907,䑕,11,ソ,鼠鼡
3908,䑗,15,トウ・ドウ,暘
3909,䑘,16,サ・ザ・シ,
3910,䑙,10,タン・テン・ゼン・ネン,
3911,䑚,10,テン,甜
3912,䑛,11,シ・ジ,䑛
3913,䑜,15,トウ・チョウ,碟
3914,䑝,14,カ,斝
3915,䑞,16,シュン,舜
3916,䑟,21,コウ,葟
3917,䑠,8,リョウ,舡
3918,䑡,9,サ・シャ・サイ・セ,
3919,䑢,9,ゴツ・ゴチ,𦨞
3920,䑣,9,チン,彤
3921,䑤,10,キン・ゴン,舲
3922,䑥,10,ゴウ,
3923,䑦,11,コウ・ク,舸
3924,䑧,11,フ,胕舴
3925,䑨,11,タ・かじ,舵柁
3926,䑪,12,ゴウ,船
3927,䑫󠄀,12,ホウ・ヒョウ,舼
3928,䑫󠄁,14,ホウ,舼
3929,䑬,12,トウ・ヨウ,舼眺
3930,䑭,12,テイ,舡
3931,䑯,13,テイ・ダイ,睇
3932,䑰,13,ホ・ブ,𦩘陟
3933,䑱,14,エン・オン,腕舵
3934,䑲,14,トウ・ジョウ,櫂
3935,䑳,14,ロン・リン・ケン,崘
3936,䑴,14,キ・ギ,舼
3937,䑶,14,セン,䑶
3939,䑹,15,ソウ,艘
3940,䑺,15,ハン,䑺帆
3941,䑻,15,ユウ・ユ,蝣艀
3942,䑼,16,シュウ・シュ・ス,䐢
3943,䑽,16,トウ,塌
3944,䑿,17,シュク,
3945,䒀,17,ホ・ブ・フ,胕符
3946,䒁,17,シュウ・ジュウ,摺舶
3947,䒂,17,ショウ,槳㯍
3948,䒃,17,ゾウ,造
3949,䒄,17,フウ・フ,擋艢
3950,䒅,17,ヨウ・トウ・ドウ,䑶
3951,䒆,18,テツ・テチ・セツ・セチ,
3952,䒈,19,ヒ,噴
3953,䒉,20,ブ・ム,儛
3954,䒊,10,ケイ,
3955,䒋,11,ヨウ・オウ,
3956,䒌,16,ベイ・ミョウ・メイ,艴
3957,䒍,16,ホウ,旁艶
3958,䒎,18,ボウ・モウ,艴莽
3959,䒏,18,ソウ,曾艶
3960,䒐,22,ボウ・モウ,瞢艶
3961,䒑,3,ソウ,䒑艹艸
3962,䒒,6,チョウ,
3963,䒓,6,カイ・ケ,
3965,䒔󠄀,5,ハイ,
3966,䒔󠄁,6,ハイ,
3967,䒕,7,ショウ,
3968,䒖,7,シン,
3969,䒗,7,キツ,芝乞
3970,䒘,7,スイ,葰
3972,䒚,8,ショウ,莎
3973,䒛,8,カン・ゲン,
3974,䒜,8,ギュウ・ゴ,牢苧
3975,䒝,8,コウ,艾
3976,䒞,8,タン・トン・チン・ジン・イン,莵冘
3977,䒟,8,タン,丹歬
3978,䒠,8,ホウ・フ・カツ・ゲチ,丰
3979,䒡,8,イン,芎引
3980,䒢󠄀,7,ゴウ・ギョウ,茆
3981,䒢󠄁,8,ゴウ・ギョウ,茆
3982,䒣,8,ゼン,苒
3983,䒤,8,ジツ・ニチ,苜
3984,䒥,8,バン・マン,芾
3985,䒦,9,ハン・ホン,芝
3986,䒧,9,キョ・コ,芸
3988,䒨,9,シ・ジ,笶
3989,䒩󠄀,8,カ,莫
3990,䒩󠄁,9,カ・ワ,莫
3991,䒪,9,ヘン・ベン・キュウ,莽弃
3992,䒫󠄀,8,タイ・ダイ,
3993,䒫󠄁,9,タイ・ダイ,
3994,䒬,9,バク,莫暮
3995,䒭,9,トウ,等
3996,䒰,10,キョウ・コウ,筐
3997,䒱󠄀,9,ジョウ・むす・あつい・すすむ,蒸
3998,䒱󠄁,10,ジョウ,蒸
3999,䒲,10,タ,菇奼
4000,䒳󠄁,9,タ,䒳
4001,䒳󠄂,10,タ,䒳朶
4002,䒴,10,ウ・ユウ,肴
4003,䒵,10,コウ,菇好
4004,䒶󠄀,9,テン,天
4005,䒶󠄁,10,テン,天
4006,䒷,10,カツ・カチ・セツ・ゼチ,筈
4007,䒸,10,ケツ・ケチ・ケキ・キャク,笽
4008,䒹󠄁,9,ライ・レ・ルイ,茉
4009,䒹󠄃,10,ライ・レ・ルイ,茉
4010,䒹󠄀,9,リ・ライ・ルイ・レ・あかざ,茉
4011,䒹󠄂,9,ライ・レ・ルイ・たがやす,茉
4013,䒺,10,キン,索
4015,䒻,10,キ,范
4016,䒼,10,キョク・コク,筁曲
4017,䒽,10,ボウ・モウ,芮
4018,䒾󠄁,9,イ,䒾
4019,䒾󠄂,10,イ,䒾
4020,䓁󠄁,10,トウ・タイ・ひとしい,等
4021,䓁󠄀,9,タイ・トウ・しな・ともがら・など・まつ・ら・ひとしい,等
4022,䓂,11,ゲン・ゴン,詈
4023,䓃,11,ユウ・オウ,芭
4024,䓄,11,ギン・ゴン・ギ,菥荻
4025,䓅,11,キ・ギ,芹
4026,䓆,11,セツ・セチ,菥
4028,䓇,11,ケキ・キャク・カク,嚇赫
4030,䓈,11,イ・エキ・ヤク,葮役
4031,䓉,11,ヤ・シャ・ジャ,椰
4032,䓊,11,ゴ・ギョ,茣
4033,䓋,11,シ,菠苔
4034,䓌󠄀,10,シ,恙志
4035,䓌󠄁,11,シ,恙志
4036,䓍,11,カン・ガン,草
4037,䓎,11,サク,葯灼
4038,䓏,11,フ,芣莕
4039,䓐󠄀,10,シュン・ジュン,菴
4040,䓐󠄁,11,シュン・ジュン,菴
